start	end	text
0	8000	Puedo escribir los versos más tristes esta noche, y tiritan azules, los astros, alolejos.
8000	14000	El viento de la noche gira en el cielo y canta. Puedo escribir los versos más tristes esta noche.
14000	21000	Yo la quise y a veces ella también me quiso. En las noches como esta la tuve entre mis brazos.
21000	27000	La vez étantas veces bajo el cielo infinito, ella me quiso, a veces yo también la quería.
28000	34000	Como no haber amado sus grandes ojos fijos, puedo escribir los versos más tristes esta noche.
34000	41000	Pensar que no la tengo sentir que la he perdido. Oír la noche inmensa más inmensa sin ella.
41000	48000	Y el verso cae al alma como al pasto el rocio. ¿Qué importa que mi amor lo pudiera guardarla?
48000	55000	La noche está estrellada, y ella no está conmigo. Eso es todo. Alolejos alguien canta, alolejos.
56000	63000	Mi alma no se contenta con haberla que ha perdido. Como para acertarla, mi mirada la busca.
63000	67000	Mi corazón la busca, y ella no está conmigo.
67000	74000	La misma noche que hace blanquear los mismos árboles, nosotros los de entonces ya nos somos los mismos.
